Study_ID,Data_Family,Omics_Layer,Clinical_Task,SVM_Role,Final_Review_Status,Final_Eligibility_Reason,Validation_Category,Reported_Key_SVM_Performance,Eligibility_Notes
S083,Molecular omics,Proteomics,Differential diagnosis,Primary final classifier for CRC versus adenoma,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Accuracy=0.867; sensitivity=0.89; specificity=0.83; PPV=0.89,Separate the ANN CRC-vs-healthy results from the eligible SVM CRC-vs-adenoma results. Final inclusion confirmed; quantitative eligibility handled separately.
S084,Molecular omics,Proteomics,Cancer detection,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Sensitivity=0.967; specificity=0.967; PPV=0.967; accuracy=0.967,Stage counts sum to 32 despite Methods saying 31; use 32 because abstract and total N=61 support it. Final inclusion confirmed; quantitative eligibility handled separately.
S085,Molecular omics,Transcriptomics,Cancer detection and differential diagnosis,Primary final classifier,Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal and external,External PDAC vs CP+healthy: AUC=0.936 (95% CI 0.889-0.983); sensitivity=0.9368; specificity=0.9157; accuracy=0.9269,True external SVM validation. Retain as a key higher-quality study. Final inclusion confirmed; quantitative eligibility handled separately.
S086,Molecular omics,Transcriptomics,Multiclass cancer detection/subtype classification,Primary final classifier (EPSVM),Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,Data15 seven-class EPSVM alpha=0.1 mean NER=0.8133,"Authors call the test samples independent, but they are random holdouts from the same dataset. Final inclusion confirmed; quantitative eligibility handled separately."
S087,Molecular omics,Transcriptomics,Cancer detection,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,No validation,NR,Do not enter AUC=0.990 or 1.000 as SVM-specific. Final exclusion confirmed under revised scope.
S088,Clinical or laboratory data,Not conventional omics,Cancer detection,One of several final classifiers,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only,Test accuracy=0.825; sensitivity=0.850; specificity=0.800,Non-omics clinical-marker subgroup. Final exclusion confirmed under revised scope.
S089,Molecular omics,Transcriptomics,Cancer detection,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,No validation,NR,External dataset must not be counted as external SVM validation. Final exclusion confirmed under revised scope.
S090,Clinical or laboratory data,Not conventional omics,Cancer detection,Comparator model only,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope; SVM was only a comparator and did not provide an eligible primary SVM diagnostic model,Internal only,Accuracy=0.7683; sensitivity=0.7353; specificity=0.7917; PPV=0.7143; NPV=0.8085,The phrase gene expression programming is an algorithm name; the input is not gene expression/omics. Final exclusion confirmed under revised scope.
S091,Spectroscopy-derived data,Not conventional omics,Differential diagnosis,One of several final classifiers; selected best for ATR-FTIR and multimodal data,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,Multimodal SVM AUC=0.9979 at 86/5 split; AUC=0.8571 at 61/30 split,Average accuracy/sensitivity/specificity values summarize the multimodal workflow and are not always clearly tied to one fixed SVM split. Final inclusion confirmed; quantitative eligibility handled separately.
S092,Clinical or laboratory data,Not conventional omics,Diagnosis and differential diagnosis,One of several final classifiers,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only for SVM,Internal validation: AUC=0.985 (95% CI 0.974-0.996); sensitivity=0.917; specificity=0.948; PPV=0.857; NPV=0.969; accuracy=0.944,Correct the existing classification from external-only to internal-only for SVM. Final exclusion confirmed under revised scope.
S093,Clinical or laboratory data,Not conventional omics,Cancer detection,One of several final classifiers,Exclude,Low-dimensional clinical/laboratory input is outside the revised omics and omics-adjacent scope,Internal only,AUC=0.902; sensitivity=0.83; specificity=0.89 [3-fold CV],Correct PDF replaced wrong duplicate S092 file. Final exclusion confirmed under revised scope.
S094,Molecular omics,Transcriptomics,Cancer detection,Primary final classifier (Lasso-SVM),Include – molecular omics,Eligible molecular-omics SVM study under the revised scope,Internal only,qPCR cohort: AUC=0.940 (95% CI 0.908-0.964); sensitivity=0.880; specificity=0.883,Do not classify the qPCR cohort as external SVM validation. Final inclusion confirmed; quantitative eligibility handled separately.
S095,Molecular omics,Transcriptomics,Diagnostic and prognostic,Feature-selection method only,Exclude,SVM was used only for feature selection and no eligible SVM classifier was evaluated,No validation,NR,Do not include in SVM model performance synthesis. Final exclusion confirmed under revised scope.
S096,Spectroscopy-derived data,Not conventional omics,Cancer detection and grade classification,Primary final classifier,Include – omics-adjacent,Eligible high-dimensional omics-adjacent SVM study; analyze separately from molecular omics,Internal only,PC1+PC2+PC6 LOOCV: sensitivity=1.000; specificity=0.963; accuracy=0.996; AUC approximately 1.0,"Classify as spectroscopy, not proteomics. Do not call LOOCV external validation. Final inclusion confirmed; quantitative eligibility handled separately."
